,timestamp,CONTAINER ID,source,id,CPU (%),MEM USAGE,LIMIT,MEM %,NET IN,NET OUT,BLOCK IN,BLOCK OUT,PIDS
87,00:24:37,7a5d590f0972,docker_redis_1,1,9.47,4.009754624,419.4304,0.96%,90.9,21.3,3.19,0.0,4
88,00:24:38,7a5d590f0972,docker_redis_1,1,10.03,4.013948928,419.4304,0.96%,91.9,21.5,3.19,0.0,4
89,00:24:39,7a5d590f0972,docker_redis_1,1,10.74,4.059037696,419.4304,0.97%,93.0,21.8,3.19,0.0,4
90,00:24:40,7a5d590f0972,docker_redis_1,1,11.92,4.080009216,419.4304,0.97%,94.2,22.1,3.19,0.0,4
91,00:24:41,7a5d590f0972,docker_redis_1,1,13.73,4.09993216,419.4304,0.98%,95.6,22.4,3.19,0.0,4
92,00:24:42,7a5d590f0972,docker_redis_1,1,12.50,4.104126464,419.4304,0.98%,98.3,23.0,3.19,0.0,4
93,00:24:43,7a5d590f0972,docker_redis_1,1,9.78,4.09993216,419.4304,0.98%,99.7,23.3,3.19,0.0,4
94,00:24:44,7a5d590f0972,docker_redis_1,1,13.12,4.23100416,419.4304,1.01%,101.0,23.7,3.19,0.0,4
95,00:24:45,7a5d590f0972,docker_redis_1,1,12.66,4.09993216,419.4304,0.98%,103.0,24.0,3.19,0.0,4
96,00:24:46,7a5d590f0972,docker_redis_1,1,13.23,4.116709376,419.4304,0.98%,104.0,24.3,3.19,0.0,4
97,00:24:47,7a5d590f0972,docker_redis_1,1,12.80,4.125097984,419.4304,0.98%,105.0,24.7,3.19,0.0,4
98,00:24:48,7a5d590f0972,docker_redis_1,1,12.37,4.1209036800000005,419.4304,0.98%,107.0,25.0,3.19,0.0,4
99,00:24:49,7a5d590f0972,docker_redis_1,1,11.86,4.125097984,419.4304,0.98%,108.0,25.3,3.19,0.0,4
100,00:24:50,7a5d590f0972,docker_redis_1,1,11.25,4.129292288,419.4304,0.98%,109.0,25.6,3.19,0.0,4
101,00:24:51,7a5d590f0972,docker_redis_1,1,11.99,4.129292288,419.4304,0.98%,110.0,25.8,3.19,0.0,4
102,00:24:52,7a5d590f0972,docker_redis_1,1,13.03,4.1366323199999995,419.4304,0.99%,112.0,26.2,3.19,0.0,4
103,00:24:53,7a5d590f0972,docker_redis_1,1,12.19,4.1492152319999995,419.4304,0.99%,113.0,26.5,3.19,0.0,4
104,00:24:54,7a5d590f0972,docker_redis_1,1,12.99,4.153409536,419.4304,0.99%,114.0,26.8,3.19,0.0,4
105,00:24:55,7a5d590f0972,docker_redis_1,1,10.86,4.165992448,419.4304,0.99%,116.0,27.1,3.19,0.0,4
106,00:24:56,7a5d590f0972,docker_redis_1,1,12.12,4.170186752,419.4304,0.99%,117.0,27.4,3.19,0.0,4
